Country,Human_Development_Index,Life_expectancy_at_birth,Expected_years_of_schooling_,Mean_years_of_schooling,Gross_national_income_(GNI)_per_capita,GNI_per_capita_rank_minus_HDI_rank,HDI_rank
Congo,0.592,62.9,11.1,6.3,"5,503",-7,135
Equatorial Guinea,0.592,57.9,9.2,5.5,"21,517",-79,137
Kiribati,0.588,66.2,11.9,7.8,"2,475",23,136
Lao People's Democratic Republic,0.586,66.6,10.8,5.2,"5,049",-2,137
Bangladesh,0.579,72,10.2,5.2,"3,341",8,140
Ghana,0.579,61.5,11.5,6.9,"3,839",5,140
Zambia,0.579,60.8,12.5,6.9,"3,464",7,139
Sao Tome and Principe,0.574,66.6,12,5.3,"3,070",12,142
Cambodia,0.563,68.8,10.9,4.7,"3,095",10,143
Nepal,0.558,70,12.2,4.1,"2,337",19,144
Myanmar,0.556,66.1,9.1,4.7,"4,943",-6,146
Kenya,0.555,62.2,11.1,6.3,"2,881",10,147
Pakistan,0.55,66.4,8.1,5.1,"5,031",-10,148
Swaziland,0.541,48.9,11.4,6.8,"7,522",-33,149
Syrian Arab Republic,0.536,69.7,9,5.1,"2,441",13,145
Angola,0.533,52.7,11.4,5,"6,291",-27,150
Tanzania (United Republic of),0.531,65.5,8.9,5.8,"2,467",10,152
Nigeria,0.527,53.1,10,6,"5,443",-23,151
Cameroon,0.518,56,10.4,6.1,"2,894",2,154
Papua New Guinea,0.516,62.8,9.9,4.3,"2,712",4,153
Zimbabwe,0.516,59.2,10.3,7.7,"1,588",20,158
Solomon Islands,0.515,68.1,9.6,5.3,"1,561",19,155
Mauritania,0.513,63.2,8.5,4.3,"3,527",-12,155
Madagascar,0.512,65.5,10.3,6.1,"1,320",25,157
Rwanda,0.498,64.7,10.8,3.8,"1,617",14,162
Comoros,0.497,63.6,11.1,4.8,"1,335",22,160
Lesotho,0.497,50.1,10.7,6.1,"3,319",-12,161
Senegal,0.494,66.9,9.5,2.8,"2,250",3,163
Haiti,0.493,63.1,9.1,5.2,"1,657",9,164
Uganda,0.493,59.2,10,5.7,"1,670",8,165
Sudan,0.49,63.7,7.2,3.5,"3,846",-22,165
Togo,0.487,60.2,12,4.7,"1,262",18,167
Benin,0.485,59.8,10.7,3.5,"1,979",1,168
Yemen,0.482,64.1,9,3,"2,300",-4,159
Afghanistan,0.479,60.7,10.1,3.6,"1,871",1,169
Malawi,0.476,63.9,10.8,4.4,"1,073",16,170
Côte d'Ivoire,0.474,51.9,8.9,5,"3,163",-20,172
Djibouti,0.473,62.3,6.3,4.1,"3,216",-22,171
Gambia,0.452,60.5,8.9,3.3,"1,541",3,173
Ethiopia,0.448,64.6,8.4,2.6,"1,523",5,174
Mali,0.442,58.5,8.4,2.3,"2,218",-9,175
Congo (Democratic Republic of the),0.435,59.1,9.8,6.1,680,15,178
Liberia,0.427,61.2,9.9,4.4,683,13,177
Guinea-Bissau,0.424,55.5,9.2,2.9,"1,369",3,179
Eritrea,0.42,64.2,5,3.9,"1,490",1,181
Sierra Leone,0.42,51.3,9.5,3.3,"1,529",-1,176
Mozambique,0.418,55.5,9.1,3.5,"1,098",4,182
South Sudan,0.418,56.1,4.9,4.8,"1,882",-12,179
Guinea,0.414,59.2,8.8,2.6,"1,058",4,182
Burundi,0.404,57.1,10.6,3,691,5,184
Burkina Faso,0.402,59,7.7,1.4,"1,537",-8,185
Chad,0.396,51.9,7.3,2.3,"1,991",-19,186
Niger,0.353,61.9,5.4,1.7,889,1,187
Central African Republic,0.352,51.5,7.1,4.2,587,4,188
