Country,MPI_year_and_survey,MPI_index,Population_in_MDP_%,Population_in_MDP_k,Intensity_of_deprivation,Population_near_MDP,Population_in_severe_MDP ,Contribution_of_deprivation_in_dimension_to_overall_poverty_%_education,Contribution_of_deprivation_in_dimension_to_overall_poverty_%_health,Contribution_of_deprivation_in_dimension_to_overall_poverty_%_livingstandards,Population_living_below_income_poverty_line_%,Population_living_below_income_poverty_line_PPP$1.9day
Guyana,2009D,0.031,7.8,59,40,18.8,1.2,16.8,51.2,32,,
Haiti,2012D,0.242,50.2,"5,161",48.1,22.2,20.1,24.8,23.4,51.8,58.5,53.9
Honduras,2011/2012D,0.098,20.7,"1,601",47.4,28.6,7.2,36.6,23.1,40.3,62.8,16
India,2005/2006D,0.282,55.3,"642,391",51.1,18.2,27.8,22.7,32.5,44.8,21.9,21.2
Indonesia,2012D,0.024,5.9,"14,644",41.3,8.1,1.1,24.7,35.1,40.2,11.3,8.3
Iraq,2011M,0.052,13.3,"4,241",39.4,7.4,2.5,50.1,38.6,11.3,18.9,
Jamaica,2012N,0.011,2.7,76,40.5,9.6,0.5,8.8,52,39.2,19.9,1.7
Jordan,2012D,0.004,1.2,85,35.3,1,0.1,31.5,65,3.5,14.4,
Kazakhstan,2010/2011M,0.004,1.1,178,36.4,2.3,0,4.3,83.9,11.8,2.7,0
Kenya,2014D,0.166,36,"16,170",46.1,32,10.7,12.3,32.2,55.5,45.9,33.6
Kyrgyzstan,2014M,0.008,2.2,127,36.3,6.5,0,13,73.5,13.5,32.1,1.3
Lao People's Democratic Republic,2011/2012M,0.186,36.8,"2,383",50.5,18.5,18.8,37.7,25.4,36.9,23.2,16.7
Lesotho,2009D,0.227,49.5,984,45.9,20.4,18.2,14.8,33.8,51.4,57.1,59.7
Liberia,2013D,0.356,70.1,"3,010",50.8,21.5,35.4,23,25.6,51.4,63.8,68.6
Libya,2007P,0.005,1.4,82,37.5,6.3,0.1,31.9,47.9,20.2,,
Madagascar,2008/2009D,0.42,77,"15,774",54.6,11.7,48,31.6,24.5,43.9,75.3,77.8
Malawi,2013/2014M,0.273,56.1,"9,369",48.6,27.2,24.3,19.3,27.2,53.5,50.7,70.9
Maldives,2009D,0.008,2,7,37.5,8.5,0.1,27.8,60.2,11.9,15.7,7.3
Mali,2012/2013D,0.456,78.4,"13,009",58.2,10.8,55.9,37.9,22.4,39.7,43.6,49.3
Mauritania,2011M,0.291,55.6,"2,049",52.4,16.8,29.9,34.5,20.3,45.3,42,5.9
Mexico,2012N,0.024,6,"7,346",39.9,10.1,1.1,31.4,25.6,43,53.2,3
Moldova (Republic of),2012M,0.004,1.1,44,38.4,2.2,0.1,11,66.9,22.1,11.4,0
Mongolia,2010M,0.047,11.1,302,42.5,19.3,2.3,18.1,27.7,54.2,21.6,0.2
Montenegro,2013M,0.002,0.5,3,38.9,2,0,22,59.9,18.1,8.6,0
Morocco,2011P,0.069,15.6,"5,090",44.3,12.6,4.9,44.8,21.8,33.4,8.9,3.1
Mozambique,2011D,0.39,70.2,"17,552",55.6,14.8,44.1,30.4,22.3,47.3,54.7,68.7
Namibia,2013D,0.205,44.9,"1,054",45.5,19.3,13.4,11,39.2,49.8,28.7,22.6
Nepal,2014M,0.116,26.6,"7,493",43.7,14.4,9.3,32.2,25.6,42.2,25.2,15
Nicaragua,2011/2012D,0.088,19.4,"1,127",45.6,14.8,6.9,37.8,12.6,49.6,29.6,6.2
Niger,2012D,0.584,89.8,"15,838",65,5.9,73.5,35.9,24,40,48.9,45.7
Nigeria,2013D,0.279,50.9,"88,018",54.8,18.4,30,29.8,29.8,40.4,46,53.5
Pakistan,2012/2013D,0.237,45.6,"82,612",52,14.9,26.5,36.2,32.3,31.6,29.5,6.1
"Palestine, State of",2014M,0.005,1.4,65,38.2,5.4,0.2,20.8,67.8,11.5,25.8,0.1
Peru,2012D,0.043,10.4,"3,150",41.4,12.3,2.1,19.4,29.8,50.8,21.8,3.1
Philippines,2013D,0.033,6.3,"6,169",51.9,8.4,4.2,35.3,30.2,34.5,25.2,13.1
Rwanda,2014/2015D,0.253,53.9,"6,263",47,25,20.5,28.6,18.4,53,44.9,60.4
Saint Lucia,2012M,0.003,0.8,2,34.5,0.9,0,15.8,65.2,19,,
Sao Tome and Principe,2008/2009D,0.217,47.5,79,45.5,21.5,16.4,29.1,26.5,44.4,61.7,32.3
Senegal,2014D,0.278,51.9,"7,621",53.5,18.1,30.8,43.6,23.1,33.4,46.7,38
Serbia,2014M,0.002,0.4,38,40.6,2.7,0.1,30.7,40.7,28.7,25.4,0.2
Sierra Leone,2013D,0.411,77.5,"4,791",53,14.6,43.9,25.7,28.5,45.9,52.9,52.3
Somalia,2006M,0.5,81.8,"7,104",61.1,8.3,63.6,33.7,18.8,47.5,,
South Africa,2012N,0.041,10.3,"5,446",39.6,17.1,1.3,8.4,61.4,30.2,53.8,16.6
South Sudan,2010M,0.551,89.3,"8,980",61.7,8.5,69.6,39.3,14.3,46.3,50.6,42.7
Sudan,2010M,0.29,53.1,"19,161",54.6,17.9,31.9,30.4,20.7,48.9,46.5,14.9
Suriname,2010M,0.033,7.6,39,43.1,4.7,2,31,37.2,31.8,,
Swaziland,2010M,0.113,25.9,309,43.5,20.5,7.4,13.7,41,45.3,63,42
Syrian Arab Republic,2009P,0.028,7.2,"1,485",39.1,7.4,1.3,54.7,34,11.3,35.2,
Tajikistan,2012D,0.031,7.9,623,39,23.4,1.2,13.4,52.6,34,31.3,19.5
Tanzania (United Republic of),2010D,0.335,66.4,"30,290",50.4,21.5,32.1,16.9,28.2,54.9,28.2,46.6
Thailand,2005/2006M,0.004,1,667,38.8,4.4,0.1,19.4,51.3,29.4,10.5,0
The former Yugoslav Republic of Macedonia,2011M,0.007,1.7,35,38.4,2.4,0.1,18.5,57.2,24.3,22.1,1.3
Timor-Leste,2009/2010D,0.322,64.3,680,50.1,21.4,31.5,20,30.4,49.6,41.8,46.8
Togo,2013/2014D,0.242,48.5,"3,454",49.9,19.9,23.2,26.4,28.8,44.9,55.1,54.2
Trinidad and Tobago,2006M,0.007,1.7,23,38,0.5,0.2,2.2,86.1,11.7,,
Tunisia,2011/2012M,0.006,1.5,161,39.3,3.2,0.2,33.7,48.2,18.1,15.5,2
Turkmenistan,2006M,0.011,3,144,37,6.5,0.1,7.4,82.5,10.1,,
Uganda,2011D,0.359,70.3,"24,088",51.1,20.6,33.3,18,30.2,51.9,19.5,34.6
Ukraine,2012M,0.001,0.4,161,34.5,0,0,19,77.5,3.5,6.4,0
Uzbekistan,2006M,0.013,3.5,931,36.6,6.2,0.1,3.7,83.4,12.8,14.1,
Vanuatu,2007M,0.135,31.2,69,43.1,32.6,7.3,24.4,24.1,51.6,12.7,15.4
Viet Nam,2013/2014M,0.016,3.9,"3,646",39.9,4.3,0.6,39.6,24.3,36.1,13.5,3.1
Yemen,2013D,0.2,40,"10,204",50.1,22.4,19.4,29.5,32.2,38.2,34.8,
Zambia,2013/2014D,0.264,54.4,"8,554",48.6,23.1,22.5,17.9,29.8,52.3,60.5,64.4
Zimbabwe,2014M,0.128,28.9,"4,409",44.1,29.3,7.8,10.8,34.5,54.8,72.3,21.4
